,Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Causeway Bay,Central,Mong Kok
53,2014-02-23,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0
54,2014-02-24,Daily Max,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0
55,2014-02-25,Daily Max,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0,5.0
56,2014-02-26,Daily Max,5.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,7.0,6.0
57,2014-02-27,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
58,2014-02-28,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
59,2014-03-01,Daily Max,5.0,4.0,4.0,5.0,6.0,6.0,4.0,4.0,3.0,4.0,4.0,7.0,6.0,6.0
60,2014-03-02,Daily Max,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,4.0
61,2014-03-03,Daily Max,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
62,2014-03-04,Daily Max,6.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,5.0,4.0,8.0,7.0,6.0
63,2014-03-05,Daily Max,6.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,8.0,7.0,5.0
64,2014-03-06,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0
65,2014-03-07,Daily Max,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0
66,2014-03-08,Daily Max,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,6.0,5.0,5.0
67,2014-03-09,Daily Max,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0
68,2014-03-10,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
69,2014-03-11,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,6.0,6.0
70,2014-03-12,Daily Max,6.0,5.0,6.0,7.0,8.0,8.0,4.0,5.0,4.0,5.0,4.0,9.0,6.0,7.0
71,2014-03-13,Daily Max,7.0,4.0,6.0,6.0,9.0,8.0,5.0,5.0,5.0,5.0,4.0,7.0,7.0,6.0
72,2014-03-14,Daily Max,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0
73,2014-03-15,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,6.0,7.0
74,2014-03-16,Daily Max,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,8.0
75,2014-03-17,Daily Max,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,5.0,6.0,7.0,6.0,6.0
76,2014-03-18,Daily Max,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,7.0,6.0,5.0
77,2014-03-19,Daily Max,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,6.0
78,2014-03-20,Daily Max,6.0,6.0,6.0,6.0,8.0,6.0,8.0,8.0,8.0,7.0,6.0,8.0,9.0,7.0
79,2014-03-21,Daily Max,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,6.0,5.0
80,2014-03-22,Daily Max,6.0,5.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0
81,2014-03-23,Daily Max,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0
82,2014-03-24,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0
83,2014-03-25,Daily Max,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,7.0,7.0,6.0
84,2014-03-26,Daily Max,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,7.0,6.0
85,2014-03-27,Daily Max,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,6.0,6.0,5.0
86,2014-03-28,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,5.0
87,2014-03-29,Daily Max,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,7.0,6.0,6.0
88,2014-03-30,Daily Max,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,6.0,5.0,5.0
89,2014-03-31,Daily Max,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0
90,2014-04-01,Daily Max,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0
91,2014-04-02,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0
92,2014-04-03,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0
93,2014-04-04,Daily Max,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,7.0,7.0,7.0
94,2014-04-05,Daily Max,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,7.0,8.0
95,2014-04-06,Daily Max,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
96,2014-04-07,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0
97,2014-04-08,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0
98,2014-04-09,Daily Max,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,6.0
99,2014-04-10,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,7.0
100,2014-04-11,Daily Max,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0
101,2014-04-12,Daily Max,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,7.0,5.0,6.0
102,2014-04-13,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0,6.0,5.0,7.0,7.0,6.0
103,2014-04-14,Daily Max,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0
104,2014-04-15,Daily Max,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,7.0,7.0,7.0
105,2014-04-16,Daily Max,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0
106,2014-04-17,Daily Max,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0
107,2014-04-18,Daily Max,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0
108,2014-04-19,Daily Max,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0
109,2014-04-20,Daily Max,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,6.0,5.0,5.0
110,2014-04-21,Daily Max,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0
111,2014-04-22,Daily Max,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,6.0,7.0,5.0
112,2014-04-23,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0
113,2014-04-24,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0
114,2014-04-25,Daily Max,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,6.0,6.0
115,2014-04-26,Daily Max,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,5.0,6.0
116,2014-04-27,Daily Max,10.0,9.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,6.0,9.0,11.0,11.0,11.0
117,2014-04-28,Daily Max,6.0,5.0,5.0,6.0,7.0,7.0,9.0,9.0,9.0,6.0,7.0,7.0,8.0,8.0
118,2014-04-29,Daily Max,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0
119,2014-04-30,Daily Max,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,7.0,7.0
120,2014-05-01,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,6.0,6.0
121,2014-05-02,Daily Max,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,6.0
122,2014-05-03,Daily Max,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,7.0
123,2014-05-04,Daily Max,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0
124,2014-05-05,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
125,2014-05-06,Daily Max,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0
126,2014-05-07,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
127,2014-05-08,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0
128,2014-05-09,Daily Max,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0
129,2014-05-10,Daily Max,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0
130,2014-05-11,Daily Max,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0
131,2014-05-12,Daily Max,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,6.0,5.0
132,2014-05-13,Daily Max,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0
133,2014-05-14,Daily Max,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0
134,2014-05-15,Daily Max,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,6.0,5.0,4.0
135,2014-05-16,Daily Max,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0
136,2014-05-17,Daily Max,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0
137,2014-05-18,Daily Max,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,3.0,4.0
138,2014-05-19,Daily Max,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0
139,2014-05-20,Daily Max,5.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,5.0
140,2014-05-21,Daily Max,5.0,3.0,4.0,6.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,6.0,5.0,4.0
141,2014-05-22,Daily Max,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0
142,2014-05-23,Daily Max,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,6.0,5.0,5.0
143,2014-05-24,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,6.0,4.0,4.0
144,2014-05-25,Daily Max,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0
145,2014-05-26,Daily Max,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0
146,2014-05-27,Daily Max,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0
147,2014-05-28,Daily Max,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0
148,2014-05-29,Daily Max,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0
149,2014-05-30,Daily Max,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,4.0,4.0
150,2014-05-31,Daily Max,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0
151,2014-06-01,Daily Max,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0
152,2014-06-02,Daily Max,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0
153,2014-06-03,Daily Max,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0
154,2014-06-04,Daily Max,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0
155,2014-06-05,Daily Max,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,6.0,4.0,3.0
156,2014-06-06,Daily Max,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,7.0,6.0,6.0
157,2014-06-07,Daily Max,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,8.0,6.0,5.0
158,2014-06-08,Daily Max,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0
159,2014-06-09,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0
160,2014-06-10,Daily Max,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0
161,2014-06-11,Daily Max,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0
162,2014-06-12,Daily Max,6.0,6.0,6.0,7.0,7.0,6.0,8.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0
163,2014-06-13,Daily Max,8.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
164,2014-06-14,Daily Max,10.0,8.0,9.0,10.0,11.0,10.0,11.0,10.0,11.0,7.0,8.0,11.0,9.0,11.0
165,2014-06-15,Daily Max,7.0,6.0,6.0,6.0,7.0,6.0,9.0,8.0,9.0,5.0,6.0,8.0,7.0,7.0
166,2014-06-16,Daily Max,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0
167,2014-06-17,Daily Max,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
168,2014-06-18,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
169,2014-06-19,Daily Max,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0
170,2014-06-20,Daily Max,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
171,2014-06-21,Daily Max,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,6.0,4.0,5.0
172,2014-06-22,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0
173,2014-06-23,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,4.0
174,2014-06-24,Daily Max,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0
175,2014-06-25,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0
176,2014-06-26,Daily Max,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0
177,2014-06-27,Daily Max,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,4.0,4.0
178,2014-06-28,Daily Max,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0
179,2014-06-29,Daily Max,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0
180,2014-06-30,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0
181,2014-07-01,Daily Max,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0
182,2014-07-02,Daily Max,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,4.0
183,2014-07-03,Daily Max,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0
184,2014-07-04,Daily Max,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
185,2014-07-05,Daily Max,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0
186,2014-07-06,Daily Max,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,7.0,5.0,5.0
187,2014-07-07,Daily Max,5.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0
188,2014-07-08,Daily Max,8.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,9.0,7.0
189,2014-07-09,Daily Max,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,8.0,7.0,7.0
190,2014-07-10,Daily Max,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,4.0
191,2014-07-11,Daily Max,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0
192,2014-07-12,Daily Max,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,5.0,4.0,4.0
193,2014-07-13,Daily Max,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0
